Продукт,Взрослый,Пенсионер,Ребенок
говядина,878.66,814.37,754.37
молоко,744.90,651.79,852.91
Фрукты свежие (Яблоки),588.45,441.34,1158.27
хлеб пшеничный,510.95,482.03,358.18
мясо птицы,502.28,482.96,428.87
творог,477.17,409.00,477.17
хлеб ржаной,426.09,216.45,155.84
рыба свежая,325.72,279.19,327.58
свинина,300.76,257.79,105.98
сыр,288.41,256.36,288.41
масло сливочное,232.62,211.48,387.70
Картофель,230.67,183.80,202.41
Яйца (штук),187.25,178.33,179.23
сахар,139.05,130.43,115.05
столовые корнеплоды,125.64,109.76,123.04
капуста свежая и квашеная,114.48,94.74,92.63
масло растительное,102.80,86.57,48.69
баранина,83.66,52.29,0.00
макаронные изделия,81.38,72.33,63.29
прочие овощи (морковь),78.14,69.15,76.41
огурцы и помидоры свежие и соленые,71.38,57.11,179.89
чай,51.22,51.22,40.97
сметана,46.54,46.54,69.82
другие крупы (кроме риса),40.77,37.06,44.48
конфеты,39.17,39.17,78.33
рис,31.23,31.23,41.64
маргарин и другие жиры,29.58,39.43,9.86
мука пшеничная,24.83,24.83,20.69
бобовые,21.88,18.23,10.94
специи,21.85,21.85,21.85
печенье,21.24,21.24,74.35
сельдь,18.33,18.33,18.33
соль,5.74,4.66,3.72
